#FIELD,ID,P_merg,dr7objid_1,galcount,TType,objID,RA,Dec,X,Y,PhotoFlag,simple_class
STRIPE82-0001,SPLUS.STRIPE82-0001.15853.griz,0.9813976287841797,587731186203623589,142439,1.7577054500579834,587731186203623589,359.3915,-0.1094,9483.957,9366.142,3,S
STRIPE82-0001,SPLUS.STRIPE82-0001.03521.griz,0.9997614026069641,588015507658768490,558313,2.332897186279297,588015507658768490,0.0559,-1.2136,5134.380999999999,2138.942,2,SB
STRIPE82-0001,SPLUS.STRIPE82-0001.27137.griz,0.9954637885093689,588015508195901580,559374,-2.1067347526550293,588015508195901580,0.6447,-0.6823,1281.001,5615.842,3,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.06705.griz,0.9997950196266174,587731186740690987,143355,3.703904151916504,587731186740690987,359.8061,0.2341,6769.378000000001,2451.132,3,Se
STRIPE82-0002,SPLUS.STRIPE82-0002.16968.griz,0.9970801472663879,587731187277627630,144145,-0.6887749433517456,587731187277627630,359.9848,0.6751,5599.811,5337.644,3,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.28866.griz,0.9996795654296875,588015510342991894,563819,3.3012495040893555,588015510342991894,359.7107,0.8943,7394.054,6772.273,3,Ec
STRIPE82-0003,SPLUS.STRIPE82-0003.23498.griz,0.9695050120353699,587731185667604608,141636,-1.0544527769088745,587731185667604608,1.2830000000000001,-0.5238,6379.797,6654.121,3,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.16989.griz,0.9971852898597717,587731186204606582,142458,2.844973087310791,587731186204606582,1.6416,-0.0561,4032.4840000000004,9715.026,3,Er
STRIPE82-0005,SPLUS.STRIPE82-0005.12433.griz,0.97625732421875,587731186204868616,142466,0.7419604063034058,587731186204868616,2.1159,-0.0049,10205.336,10050.619,2,Ei
STRIPE82-0005,SPLUS.STRIPE82-0005.16593.griz,0.9882752895355225,587731186205065383,142479,2.2854418754577637,587731186205065383,2.6897,-0.1278,6449.1630000000005,9246.083,2,Ei
STRIPE82-0005,SPLUS.STRIPE82-0005.11666.griz,0.9841535687446594,588015509270822939,561684,4.033483505249023,588015509270822939,3.3136,0.0447,2364.982,10375.327,3,S
STRIPE82-0006,SPLUS.STRIPE82-0006.11887.griz,0.9938592314720154,587731187279134987,144220,-0.30261993408203125,587731187279134987,3.4463,0.7703,1497.307,5960.847,3,Er
STRIPE82-0006,SPLUS.STRIPE82-0006.08911.griz,0.9568471312522888,588015509807366198,562785,-1.6618095636367798,588015509807366198,2.6311,0.5858,6832.438,4753.144,3,Ei
STRIPE82-0006,SPLUS.STRIPE82-0006.07156.griz,0.9903049468994141,588015509807431748,562789,1.4174779653549194,588015509807431748,2.6629,0.4746,6624.306,4025.147,3,Se
STRIPE82-0007,SPLUS.STRIPE82-0007.27954.griz,0.9900838136672974,587731185668653064,141677,-1.0230852365493774,587731185668653064,3.6361,-0.5374,9531.662,6564.495,3,Er
STRIPE82-0007,SPLUS.STRIPE82-0007.25741.griz,0.9632622599601746,587731185668718703,141682,0.995485782623291,587731185668718703,3.8487,-0.4518,8139.8640000000005,7124.871999999999,2,Ei
STRIPE82-0007,SPLUS.STRIPE82-0007.26801.griz,0.9854814410209656,587731185668849769,141686,-2.3756103515625,587731185668849769,4.1538,-0.5022,6143.15,6795.186,3,Er
STRIPE82-0007,SPLUS.STRIPE82-0007.28072.griz,0.9991316199302673,587731185669046344,141711,-2.2202792167663574,587731185669046344,4.6171,-0.5701,3110.87,6350.844,3,Er
STRIPE82-0007,SPLUS.STRIPE82-0007.28280.griz,0.9852478504180908,587731185669046345,141712,-1.2536031007766724,587731185669046345,4.6179,-0.5695,3105.6279999999997,6354.355,3,Ei
STRIPE82-0007,SPLUS.STRIPE82-0007.30696.griz,0.9999861717224121,587731186205458585,142502,-1.2017675638198853,587731186205458585,3.4897,-0.0367,10490.675,9842.021,3,SB
STRIPE82-0007,SPLUS.STRIPE82-0007.06521.griz,0.9819914698600769,588015507660472448,558376,-0.29951417446136475,588015507660472448,3.9644,-1.0761,7382.368,3038.8540000000003,2,Ei
