# rootname800                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,ABG,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,
3514673_u                                         ,139.00000000,191.00000000,5.78109589,0.77781746,-0.00202578,0.01351426,94.50153858,65.50168916,94.57906899,66.19450478,94.27753116,68.03305487,99.25111538,68.34384628,1.51507369,1.15698506,175.68173740,0.01178571,10.99999999,0.52360300,69.43638392,98.75166910,66.29482399,0.00859392,7.55856118,0.16364740,0.39243043,167.92514307,10.29608345,6.23050482,8.87520021,11.16830930,12.79483404,14.42853751,17.40382421,19.02413076,20.57086820,23.62285184,27.02675065,0.36507446,0.21411001,0.16551293,0.80612626,0.00843349,0.81694602,0.62031131,2.57944509,-0.00545922,0.78055696,0.51250585,0.76076540,1.55071512,0.79900674,0.88720308,0.02312193,1.30861720,0.00000000,
3528976_u                                         ,111.00000000,85.00000000,5.78109589,0.77781746,-0.00000564,0.01439919,42.50640423,46.51167072,42.56624188,47.72945934,43.71163709,46.25730817,41.07842338,49.76041379,3.81260860,2.66551807,109.96685875,0.02570763,6.71506995,4.00880176,16.59493785,42.32120643,44.94945734,0.00747097,9.46709777,20.99998918,0.72156747,123.37022146,12.83697319,1.62811322,2.44390299,3.18734005,3.94093361,4.80184938,6.08712519,8.07372629,10.92167523,13.75392908,10.38335374,0.65020530,0.45701825,0.09967170,0.90238526,0.12215494,0.73771500,0.45617368,11.74242802,0.01091850,0.60589619,0.68817914,-0.01202396,1.61402000,0.68426780,0.59711288,0.66587111,1.18295784,64.00000000,
3531417_u                                         ,111.00000000,65.00000000,5.78109589,0.77781746,-0.00087365,0.01380640,30.50664888,53.50101603,30.93057336,53.57493676,30.79764288,55.47025495,29.33262354,55.89071198,3.64756886,2.37506015,102.51930873,0.01087037,6.00000000,49.90574890,30.92111050,29.61794892,52.72298609,0.00002924,128.62814806,20.94506548,0.66716038,90.78364421,3.56449318,2.67981551,3.84089928,4.78867481,5.64622822,6.55373248,7.92078660,9.50893882,10.85081379,13.78366655,17.46620023,0.45102939,0.32287605,0.43586901,0.68512919,0.00118413,0.84330060,0.76118701,2.46373615,0.08064663,0.84750815,0.50169414,2.06743424,1.52056601,0.84877433,0.90355943,0.50150092,0.78404508,32.00000000,
3538751_u                                         ,175.00000000,191.00000000,5.78109589,0.77781746,-0.00002138,0.01366587,93.50136161,85.50339589,93.41608898,85.74371327,94.23583831,86.20318509,91.66856565,87.42977811,9.69130500,6.48047236,144.60094241,0.00931644,24.57959765,4.30593215,7.77902357,92.61657609,84.64658863,0.00802625,27.20192806,4.76247021,0.60571399,142.79207231,61.68436050,3.07505529,5.51531618,8.10923324,11.36225911,15.31732134,20.10697196,25.62395051,33.92421182,44.26960783,30.91801219,0.78893935,0.46092285,0.21397281,0.35824342,0.00820600,0.31216884,0.49765112,0.82475477,0.03862371,0.95264894,0.63001235,0.13696418,1.56035246,0.56064460,0.63847497,1.06218948,1.74734345,0.00000000,
3564545_u                                         ,243.00000000,263.00000000,5.78109589,0.77781746,-0.00013461,0.01364610,130.50090620,119.50427246,130.60543351,120.30677551,130.78451672,120.34546748,132.13754374,123.14007081,7.58954617,6.70260632,144.87124970,0.00647016,26.37667303,3.72995094,7.74851231,129.39569594,118.96665851,0.00807428,24.23173721,3.17727369,0.80641533,151.19318261,61.25493622,3.62800541,6.21293482,9.37152610,12.82276193,17.03671493,21.40518524,26.72134436,36.71316565,45.88733212,32.26157602,0.77152504,0.43030695,0.19549546,0.51061205,0.00441713,0.72634710,0.57793822,2.50850067,0.01527032,0.71227183,0.60735451,0.28273739,1.58239484,0.59736594,0.69679380,1.00785609,1.55557344,0.00000000,
3568531_u                                         ,155.00000000,95.00000000,5.78109589,0.77781746,0.00148604,0.01650085,44.51029009,77.50662816,45.27859816,78.01803845,45.53587982,78.31219136,46.24215032,76.15421537,5.57896826,3.88333828,110.34308258,0.00424372,30.72798498,2.96723337,15.04559063,44.00000010,76.99999953,0.00366043,39.16723568,3.61226288,0.45005039,107.83399402,44.65110779,3.27721030,6.45264485,10.66424191,14.91272462,20.11705609,27.09756338,35.80280482,47.96148601,55.86169859,34.21289091,0.87115487,0.44354971,0.42671329,0.43966734,0.01841860,0.48076392,0.62311131,2.69766909,0.04055462,0.71080189,0.57695263,0.54610736,1.56009176,0.87875395,0.69365362,0.24882065,1.26242975,0.00000000,
3568809_u                                         ,45.00000000,71.00000000,5.78109589,0.77781746,0.00221541,0.01381424,29.50827679,19.52592592,34.33832248,21.06062461,36.18324045,21.04030847,34.96176828,21.96053772,5.27693714,3.19842207,176.75776088,0.03625014,9.99999999,0.50644665,34.86352945,33.36868718,19.60326021,0.02396317,9.90086057,0.31964171,0.66116724,171.97842678,13.00214577,5.26984944,6.60065398,7.96932997,9.51880870,11.15398866,12.81600264,14.31520507,16.91755190,20.52664916,24.06862318,0.40875055,0.26488786,0.44503331,0.34262277,0.02846941,0.31040641,0.55602423,21.05646709,0.02497157,0.57120381,0.56721814,0.25113217,1.40883901,1.00736689,0.86974297,-0.26765591,0.64104825,64.00000000,
3572718_u                                         ,123.00000000,165.00000000,5.78109589,0.77781746,-0.00032825,0.01410988,83.49862780,60.50529651,84.84516867,62.05001924,86.47399397,62.85746045,85.67305838,63.44877282,6.56304158,2.44178322,35.87225765,0.01919455,15.00000000,0.62901575,16.19573272,82.78671241,60.35518092,0.02012690,16.76997940,0.63281716,0.29608376,35.50404489,15.86492825,5.84834817,8.77931740,10.89442257,12.93664347,15.09274836,17.64841823,21.16511201,24.89242077,28.63290457,30.82387561,0.45260638,0.27809707,0.20263860,0.66346131,0.01749883,0.67844924,0.56715882,6.64818828,0.02032724,0.93432228,0.56879012,0.80348942,1.57214617,0.82705814,0.81205825,0.63562554,2.01702073,0.00000000,
3581730_u                                         ,95.00000000,109.00000000,5.78109589,0.77781746,0.00027369,0.01435194,51.51252392,45.52460198,51.97050581,46.37316326,53.05538267,47.06694177,52.84261555,47.10597060,3.49103888,2.48889319,34.34299577,0.01582361,9.94349400,0.50000266,87.47153905,51.33823765,45.39152568,0.00572405,15.19857176,2.40690568,0.60740462,31.21858090,11.13612652,2.23198952,4.00826750,6.03769338,8.39767023,10.13808476,12.01739747,14.10152863,17.84818271,22.53687433,16.11600496,0.64863731,0.34693777,0.20921174,0.56643935,0.00244965,0.74641161,0.51863465,5.98326488,0.00972180,0.78326344,0.58176104,0.54158556,1.50157796,0.80539230,0.77616987,0.59358188,3.52307149,0.00000000,
3610880_u                                         ,65.00000000,93.00000000,5.90674650,0.77781746,-0.00057766,0.01235443,43.52608661,30.55433313,44.20002191,31.22177710,44.79660519,30.68599247,44.63776726,31.55392869,3.70907134,2.49981934,168.06460358,0.00973789,7.89011107,1.01905742,14.14273207,43.16520323,30.15097422,0.01039197,9.09309001,1.03149006,0.45557691,171.35278863,4.54645109,2.71554072,4.01864173,5.25486277,6.59971213,7.93893204,9.41969958,11.41020595,13.86803678,17.54224069,12.99501760,0.53793570,0.34432298,0.17978920,0.61582891,0.00000000,0.80171172,0.52071099,7.29902426,0.01488831,0.81481111,0.51667042,0.40290608,1.57973107,0.86034672,0.87995245,0.08752775,0.64079930,0.00000000,
3614255_u                                         ,199.00000000,183.00000000,5.90674650,0.77781746,-0.00052631,0.01297895,88.50693913,96.50601728,89.48240729,97.52341265,90.07499055,97.96770849,94.14166853,97.81547315,4.06506427,3.61484254,74.24837222,0.02012605,13.55892011,0.50000139,584.88864540,88.39798565,96.43597592,0.00013177,133.85332134,11.85401236,0.82396435,74.48634420,26.27429199,2.53013089,4.63661319,7.28631875,11.69429688,16.00938824,20.22864337,24.30216370,28.78952974,36.50149794,32.46133319,0.79303370,0.35793595,0.37455946,0.72967485,0.00758949,0.76327248,0.76927319,4.34202483,0.04686472,0.90872757,0.59008720,0.82818604,1.56300039,0.81603359,0.72435508,0.42803749,1.35284336,32.00000000,
3616270_u                                         ,121.00000000,109.00000000,5.90674650,0.77781746,-0.00101783,0.01273414,52.50731949,58.50271879,52.78640390,58.71327167,53.33884131,59.68985522,52.96011711,58.71061531,3.81623569,2.30403327,46.20923906,0.02018873,7.94115301,1.84409035,9.37795327,51.45321681,57.52797423,0.01550666,12.42566274,1.32669581,0.31909089,47.00649888,9.40291977,2.44794191,4.07049782,5.79540836,7.39723252,8.85414966,10.90157987,13.05443497,15.47322549,21.08360691,17.66561197,0.57993333,0.37679805,0.10421138,0.43442558,0.00095111,0.66848890,0.32202485,1.97898982,0.04366847,0.76442718,0.53781821,0.19371048,1.59399119,0.83236997,0.84689032,0.35071327,1.39349170,0.00000000,
3616326_u                                         ,71.00000000,99.00000000,5.90674650,0.77781746,0.00067700,0.01261389,47.53467991,33.53792158,48.22270246,34.16391852,48.45597003,34.01282732,48.62661758,37.00028197,2.51156857,2.14860375,140.65496834,0.01313925,9.00000000,0.51248749,61.74623861,47.58616613,32.97242740,0.00012003,121.82330606,7.71063233,0.69136313,162.19185903,8.32287884,2.46966846,4.09787185,5.77235123,7.66882633,9.61291907,12.22884381,14.36516911,17.45488249,20.06243725,23.31915351,0.62935856,0.31952841,0.95627242,0.18693635,0.03383781,0.81520786,0.73050508,3.98893831,0.01757398,0.70515713,0.55461241,0.70557602,1.58063912,0.94799598,0.85949883,-0.05231646,0.59514361,32.00000000,
3622300_u                                         ,57.00000000,75.00000000,5.90674650,0.77781746,-0.00046753,0.01219719,28.50575074,25.53016747,32.82341006,25.09745873,32.58265677,25.52879497,34.63988134,26.13015645,5.49413730,2.99763491,175.66207637,0.01168624,5.00000000,49.93743514,132.98199451,28.45596606,25.51640458,-0.01510895,1.00003069,20.99999992,0.54176251,176.53443940,1.91458988,3.82904237,5.17414922,6.32659985,7.66642661,9.01878498,9.96199478,10.78361963,11.61435001,12.56283578,15.84095584,0.35115596,0.14393965,0.48912260,0.62892358,0.00000000,0.94811283,0.66484214,27.39284091,0.03111454,0.64486483,0.51834105,1.50489314,1.58356794,1.01482305,0.89086098,0.53519792,1.94596936,64.00000000,
3622330_u                                         ,71.00000000,79.00000000,5.90674650,0.77781746,0.00114854,0.01266281,43.60842676,12.61457042,45.51058920,14.25169445,45.38060212,15.16520711,42.44116331,13.90948924,2.83115643,0.97715197,29.25935959,0.00712043,14.00000000,0.50548402,264.02926815,30.52592580,11.90340402,0.00169678,42.81177018,1.22288519,0.28405688,9.12244009,4.03624535,6.52442644,11.31735118,14.56763979,19.54189759,24.65617245,26.99091482,28.27988218,29.48109488,30.91165962,34.28466168,0.41579882,0.09819666,0.49639741,0.66908001,0.09824948,0.94025905,0.84384467,7.32006855,0.03267352,0.68424471,0.55634390,0.29437867,1.57141158,0.83151147,0.84385934,0.51913860,2.99314700,0.00000000,
3624489_u                                         ,245.00000000,231.00000000,5.90674650,0.77781746,-0.00035819,0.01233033,116.50071806,116.50090558,116.77922802,117.30234568,119.22601697,117.12184386,113.54740947,116.17202335,3.53753767,1.99822539,131.12241498,0.00743917,24.00000000,0.50175628,17.45766863,114.90983084,116.81442322,0.00922680,22.62342552,0.34871625,0.55873380,132.26863683,23.19986916,9.54900948,14.24837690,18.06706874,21.73240094,24.73575860,27.72508603,29.90530411,32.75397068,39.08257351,38.79897133,0.36149856,0.19865792,0.23624270,0.83050369,0.00330438,0.97678292,0.69137873,2.18679486,0.01368610,0.77099779,0.52210852,0.70683164,1.52103201,0.80168295,0.83776064,-0.55297932,2.15357981,0.00000000,
3625420_u                                         ,101.00000000,67.00000000,5.90674650,0.77781746,0.00088643,0.01241990,31.51636836,49.50387325,32.34056019,49.39327082,33.13184210,50.31831998,33.96562657,46.49976456,4.75452764,2.73673354,101.32027839,0.01546074,11.74748725,2.34596508,13.72180641,30.99777998,48.53190007,0.02080568,11.88235751,0.83229876,0.45337895,99.78220564,17.21112251,5.39480937,7.18420788,9.00682927,11.44010623,14.04507644,17.62265438,23.29429691,30.95434204,41.52466733,25.50362812,0.63434269,0.47078205,0.52675170,0.27867634,0.01288194,0.38548416,0.60449707,3.26063358,0.02588787,0.72809820,0.57556968,0.49454686,1.53779369,0.87124342,0.83782503,0.04089778,0.96584584,0.00000000,
3628987_u                                         ,101.00000000,67.00000000,5.90674650,0.77781746,0.00014465,0.01252757,31.51127527,48.50229758,31.88910025,48.29479555,32.08144370,48.82717161,32.31350319,49.87750388,5.29999187,2.76265386,69.43452889,0.03053002,8.78070089,1.72448733,6.97975055,30.80167469,47.22409486,0.03077915,10.42408098,0.42391656,0.42120631,66.61815481,12.80622292,5.61023368,6.71946891,7.95216587,9.42036951,11.02881161,13.18056248,16.01048644,18.78409652,23.16677479,23.36134916,0.44645536,0.32233686,0.39581972,0.29738976,0.01695675,0.31923991,0.44228459,1.84516505,0.05488999,0.58084765,0.60387540,1.06308369,1.55139182,0.85795987,0.82453910,-0.07363350,2.19582689,0.00000000,
3642119_u                                         ,159.00000000,165.00000000,5.90674650,0.77781746,-0.00001669,0.01265413,25.71654240,67.50469482,25.87110489,67.71872631,26.38412490,68.34357922,25.87787193,67.91575219,0.98225442,0.86895261,5.45545374,0.00296553,2.00000000,49.99844502,1007.08788526,25.17174264,66.89726512,0.06292413,1.47420356,20.99999996,1.00000000,78.66160911,5.36308241,1.00000000,1.00000000,1.21369258,1.51971219,1.87067851,2.28679946,2.80747213,3.52828944,4.79157297,4.63061502,0.54756421,0.40847895,0.00907774,0.36015444,0.00000000,1.01128556,0.28041716,5.70131106,0.00274965,0.66187012,0.78468941,-0.14275544,1.57148155,0.29204157,0.64373084,-0.00757675,0.12483667,1.00000000,
3642715_u                                         ,189.00000000,179.00000000,5.90674650,0.77781746,0.00086523,0.01309336,126.50142172,43.50632102,126.63736588,44.06107654,125.83801634,44.73646556,126.34833796,44.84035843,4.85662961,2.44122289,159.13692750,0.01923850,3.00000000,49.99744591,348.49438915,124.01942440,43.31940677,0.11026684,2.20515484,21.00000000,0.70732246,90.57379157,10.64679623,1.00000000,1.44195313,1.96222387,2.51365409,3.10676343,3.75866523,4.50103077,5.40719097,6.74560994,6.32798911,0.57402056,0.33671304,0.00935774,0.28736100,0.00083757,0.90759474,0.18662726,9.02608081,0.00362510,0.70385773,0.81533648,-0.25589534,1.59052543,0.23758054,0.55331788,0.16278576,0.25461891,8.00000000,
3649999_u                                         ,91.00000000,145.00000000,5.90674650,0.77781746,0.00012378,0.01335318,70.51582431,44.50322576,71.37020669,44.72610708,72.68792443,45.25515491,72.74850022,45.83899529,3.84139969,2.52827973,18.80840069,0.00758054,12.00000000,0.77277936,37.04428467,70.45792058,43.50895640,0.00222862,27.53132152,2.80102718,0.52486683,3.78459530,9.42877960,3.39876858,5.29063572,7.54406113,10.06557718,12.35853075,15.40791898,18.77317549,21.11119484,25.08294589,14.79012611,0.60100495,0.30741170,0.13188934,0.56661442,0.00000000,0.83574658,0.50140586,5.97003207,0.00329812,0.85397225,0.54774381,0.23316421,1.59636999,0.80627684,0.88147516,0.18447283,1.39988611,0.00000000,
3651356_u                                         ,89.00000000,145.00000000,5.90674650,0.77781746,0.00005799,0.01325790,71.50666926,42.51185398,71.98514416,43.11505806,72.63588446,44.00000277,72.61117139,45.54371727,3.67972654,3.18356469,39.45114471,0.01032615,14.22386007,0.85339125,7.63691531,70.90930256,42.09805578,0.01052704,14.89432608,0.92501006,0.75869626,10.73276945,19.37619019,4.19599565,6.99850973,9.07962360,11.31446744,13.53076136,15.89360976,18.97392645,22.44419385,27.92821929,29.69945852,0.50609844,0.31472101,0.69026250,0.31838321,0.01396539,0.57523859,0.67051807,2.59240674,0.04928362,0.83299225,0.55081090,0.94844734,1.49482840,0.89588939,0.82951824,-0.55404499,0.54998899,0.00000000,
3655028_u                                         ,181.00000000,205.00000000,5.90674650,0.77781746,0.00085424,0.01287874,100.50341015,87.50252417,100.87112690,87.93948310,101.66198865,88.13248505,103.36776977,89.29760408,6.80172180,3.83360774,143.00815301,0.00572393,21.99999728,1.59226352,55.95634486,100.30319527,86.58101222,0.00217612,64.02915453,2.82104448,0.38229260,144.15908176,29.41890144,5.93171653,9.50510786,12.71174431,16.47301322,20.30607397,24.99910696,29.01919442,34.51362934,41.67688525,49.57362998,0.56003358,0.31226929,0.37262625,0.58794620,0.00324670,0.77355021,0.70879316,1.15201231,0.01626950,0.83051523,0.54222365,0.51792736,1.59963424,0.67250363,0.86148136,0.83501973,0.75790142,0.00000000,
3655548_u                                         ,265.00000000,215.00000000,5.90674650,0.77781746,-0.00189268,0.01304587,105.50224109,130.50185004,105.96785678,130.87454393,106.83186251,131.60808581,107.92597457,132.67625023,4.78922892,3.92165373,55.28566609,0.00413020,22.99999664,7.70691552,13.04896953,105.07141015,129.84152946,0.01057596,16.59531172,2.67073457,0.61016392,54.97354726,29.55948639,3.34660228,5.34719087,7.57786074,10.31641811,13.83971419,17.73457261,22.56927174,28.24911585,34.43728765,35.94105987,0.72287917,0.39590182,0.21170726,0.73919164,0.00142999,0.83182537,0.65753041,1.65939685,-0.03694424,0.83928967,0.61937772,1.06105203,1.60737125,0.76498775,0.77163849,0.27050546,1.42165427,0.00000000,
3663960_u                                         ,79.00000000,73.00000000,5.90674650,0.77781746,0.00080350,0.01318840,33.52384606,36.51929858,34.36748247,37.46598620,34.40980596,36.81600442,34.99655453,39.37403810,3.32511799,2.92621823,52.11143383,0.00373115,15.49763237,6.95957616,16.68755257,33.26684675,36.23787553,0.00996208,9.67443831,1.36664143,0.90632002,18.31623525,11.92665863,3.25710073,4.65538511,6.42644514,8.58367917,11.27086299,13.99698952,16.78544205,22.41311292,28.87151396,18.75215946,0.68254657,0.40851239,0.69952226,0.28381863,0.01436674,0.59982478,0.65646084,6.76213147,0.01822986,0.85618329,0.55337444,0.44291997,1.57003835,0.76431736,0.81640707,0.34375477,1.48606349,0.00000000,
3677266_u                                         ,215.00000000,143.00000000,5.90674650,0.77781746,-0.00014555,0.01315121,98.50859289,126.50596131,99.50256695,127.19851437,99.93909911,127.52441470,100.34155625,127.51639946,3.22891298,2.59297732,176.64448803,0.02362448,1.00000000,49.99962651,5114.22540856,104.50291604,126.34046327,0.00232931,11.50641509,20.99013178,0.94184940,1.80532825,33.00614166,1.00000000,1.05547820,1.29507904,1.56291084,1.86890076,2.22999079,2.67936859,3.29987164,4.46142970,4.48460314,0.49504778,0.37788781,0.00606414,0.09802347,0.00338450,0.61172800,0.07799655,27.01356675,0.01367767,0.54965149,0.81716611,-0.41218587,1.57733237,0.23395432,0.49916362,0.15163357,0.03803819,105.00000000,
