#FIELD,ID,X,Y,P_merg
STRIPE82-0107,SPLUS.STRIPE82-0107.10623.griz,3333.4309999999996,2604.499,0.9710229635238647
STRIPE82-0109,SPLUS.STRIPE82-0109.09067.griz,8815.966999999999,2240.016,0.999016523361206
STRIPE82-0109,SPLUS.STRIPE82-0109.07277.griz,6547.717,2040.932,0.9990639090538025
STRIPE82-0115,SPLUS.STRIPE82-0115.07505.griz,8020.206,2691.486,0.9995087385177612
STRIPE82-0105,SPLUS.STRIPE82-0105.32544.griz,7461.825,5337.798000000001,0.9993769526481628
STRIPE82-0109,SPLUS.STRIPE82-0109.39414.griz,10525.247,5937.071,0.9980512857437134
STRIPE82-0109,SPLUS.STRIPE82-0109.32427.griz,6824.093000000001,5202.448,0.9999831914901733
STRIPE82-0113,SPLUS.STRIPE82-0113.30383.griz,9357.823,5506.416,0.9884887337684631
STRIPE82-0117,SPLUS.STRIPE82-0117.28213.griz,4574.846,5555.893,0.9604517817497253
STRIPE82-0123,SPLUS.STRIPE82-0123.18851.griz,2570.084,5154.825,0.989094078540802
STRIPE82-0101,SPLUS.STRIPE82-0101.78535.griz,4326.905,8545.271999999999,0.9842627644538879
STRIPE82-0109,SPLUS.STRIPE82-0109.54390.griz,7533.233,7857.479,0.9766645431518555
STRIPE82-0109,SPLUS.STRIPE82-0109.50998.griz,6936.085999999999,7474.670999999999,0.9949883818626404
STRIPE82-0117,SPLUS.STRIPE82-0117.55040.griz,6483.3,8655.051,0.9988337159156799
STRIPE82-0119,SPLUS.STRIPE82-0119.55892.griz,4173.098,8327.122,0.9997420907020569
STRIPE82-0121,SPLUS.STRIPE82-0121.41209.griz,6604.356,8082.428000000001,0.9967663288116455
STRIPE82-0102,SPLUS.STRIPE82-0102.09649.griz,4168.392,1787.66,0.9947799444198608
STRIPE82-0104,SPLUS.STRIPE82-0104.09725.griz,9610.661,1947.114,0.9624278545379639
STRIPE82-0108,SPLUS.STRIPE82-0108.04643.griz,6579.874,1702.7720000000002,0.9856235980987549
STRIPE82-0110,SPLUS.STRIPE82-0110.04131.griz,8462.029,1686.5529999999999,0.9995366334915161
STRIPE82-0110,SPLUS.STRIPE82-0110.07173.griz,8454.529,2106.225,0.9753628373146057
STRIPE82-0109,SPLUS.STRIPE82-0109.60050.griz,8444.721,10262.612,0.9913007616996765
STRIPE82-0110,SPLUS.STRIPE82-0110.07111.griz,5897.964,2085.969,0.9973094463348389
STRIPE82-0114,SPLUS.STRIPE82-0114.03218.griz,8725.501,1657.182,0.994265615940094
STRIPE82-0114,SPLUS.STRIPE82-0114.05695.griz,3612.204,2050.604,0.991692304611206
STRIPE82-0114,SPLUS.STRIPE82-0114.05945.griz,3635.04,2033.586,0.9969251751899719
STRIPE82-0118,SPLUS.STRIPE82-0118.05687.griz,2090.894,2114.2870000000003,0.9999794960021973
STRIPE82-0120,SPLUS.STRIPE82-0120.00573.griz,10462.476999999999,1093.2930000000001,0.9826027154922485
STRIPE82-0120,SPLUS.STRIPE82-0120.00511.griz,8888.844000000001,1161.036,0.9622747302055359
STRIPE82-0120,SPLUS.STRIPE82-0120.04145.griz,3367.0429999999997,1904.7060000000001,0.9998098015785217
STRIPE82-0122,SPLUS.STRIPE82-0122.05586.griz,6223.398,2085.851,0.9996339082717896
STRIPE82-0106,SPLUS.STRIPE82-0106.23572.griz,2672.562,4647.474,0.9571125507354736
STRIPE82-0108,SPLUS.STRIPE82-0108.22288.griz,7937.880999999999,4193.391,0.9942675232887268
STRIPE82-0112,SPLUS.STRIPE82-0112.22006.griz,6828.995,4573.272,0.9998997449874878
STRIPE82-0114,SPLUS.STRIPE82-0114.19108.griz,9142.081,4459.856,0.9931380152702332
STRIPE82-0114,SPLUS.STRIPE82-0114.20607.griz,4833.805,4792.236,0.9699971675872803
STRIPE82-0116,SPLUS.STRIPE82-0116.22620.griz,8102.078,4959.6990000000005,0.9998949766159058
STRIPE82-0122,SPLUS.STRIPE82-0122.13765.griz,6960.576,3853.897,0.9902335405349731
STRIPE82-0122,SPLUS.STRIPE82-0122.15784.griz,5458.5740000000005,4328.958,0.9922372698783875
STRIPE82-0124,SPLUS.STRIPE82-0124.22098.griz,6129.5740000000005,4654.123,0.9988344311714172
STRIPE82-0124,SPLUS.STRIPE82-0124.20617.griz,5033.218,4409.482,0.9786979556083679
STRIPE82-0126,SPLUS.STRIPE82-0126.06694.griz,10007.283000000001,4138.149,0.9979828596115112
STRIPE82-0110,SPLUS.STRIPE82-0110.40740.griz,7476.734,6772.395,0.9850897789001465
STRIPE82-0110,SPLUS.STRIPE82-0110.46258.griz,2664.276,7653.326999999999,0.9879119992256165
STRIPE82-0116,SPLUS.STRIPE82-0116.44004.griz,2023.599,7774.09,0.9621501564979553
STRIPE82-0118,SPLUS.STRIPE82-0118.31917.griz,8408.746,6788.736999999999,0.9668868780136108
STRIPE82-0118,SPLUS.STRIPE82-0118.45280.griz,7438.16,7548.102,0.9701340198516846
STRIPE82-0118,SPLUS.STRIPE82-0118.32304.griz,7293.821,6921.969,0.9754339456558228
STRIPE82-0120,SPLUS.STRIPE82-0120.44059.griz,7683.019,7381.901999999999,0.9991564750671387
STRIPE82-0124,SPLUS.STRIPE82-0124.33433.griz,9100.721,6641.26,0.9980390667915344
STRIPE82-0124,SPLUS.STRIPE82-0124.37140.griz,5027.794,7230.840999999999,0.962904691696167
STRIPE82-0109,SPLUS.STRIPE82-0109.25982.griz,4152.733,4417.361,0.9999135732650757
STRIPE82-0109,SPLUS.STRIPE82-0109.24853.griz,3573.917,4237.661,0.9714255332946777
STRIPE82-0109,SPLUS.STRIPE82-0109.23904.griz,2834.844,4136.3820000000005,0.995110809803009
STRIPE82-0111,SPLUS.STRIPE82-0111.19413.griz,9738.287,3757.525,0.9969303011894226
STRIPE82-0111,SPLUS.STRIPE82-0111.20427.griz,2865.94,3858.167,0.9966986775398254
STRIPE82-0099,SPLUS.STRIPE82-0099.59149.griz,1936.365,6793.669,0.9908158779144287
STRIPE82-0113,SPLUS.STRIPE82-0113.40104.griz,3159.533,7184.769,0.967514157295227
